DESCRIPTION:WA
01.07.2015
Medicare Item
Number	AMA Item
Number	1 July 2015 Medicare Schedule Fee	Medical Gap Scheme
Benefit
(Including
Medicare Benefit)	Medical Gap Scheme %
20884		99.00	167.20	
20886		118.80	200.65	
20900		59.40	100.30	
20902		79.20	133.75	
20904		138.60	234.05	
20905		198.00	334.40	
21272		79.20	133.75	
21274		118.80	200.65	
21275		198.00	334.40	
21280		297.00	501.55	
21300		59.40	100.30	
21321		79.20	133.75	
21340		79.20	133.75	
21360		99.00	167.20	
21380		59.40	100.30	
21382		79.20	133.75	
21390		59.40	100.30	
21392		79.20	133.75	
21400		79.20	133.75	
21402		138.60	234.05	
21403		198.00	334.40	
21404		99.00	167.20	
21420		59.40	100.30	
21430		79.20	133.75	
21432		99.00	167.20	
21440		158.40	267.50	
21445		198.00	334.40	
21460		59.40	100.30	
21461		79.20	133.75	
21462		59.40	100.30	
21464		79.20	133.75	
21472		99.00	167.20	
21474		99.00	167.20	
21480		79.20	133.75	
21482		99.00	167.20	
21484		99.00	167.20	
21486		138.60	234.05	
21490		59.40	100.30	
21500		158.40	267.50	
21502		118.80	200.65	
21520		79.20	133.75	
21522		99.00	167.20	
21530		297.00	501.55	
21532		158.40	267.50	
21535		198.00	334.40	
21600		59.40	100.30	
21610		99.00	167.20	
21620		79.20	133.75	
21622		99.00	167.20	
21630		99.00	167.20	
21632		118.80	200.65	
21634		178.20	300.95	
21636		297.00	501.55	
21638		198.00	334.40	
21650		158.40	267.50	
21652		198.00	334.40	
21654		158.40	267.50	
21656		198.00	334.40	
21670		79.20	133.75	
21680		59.40	100.30	
21935		99.00	167.20	
21936		118.80	200.65	
21939		59.40	100.30	
21941		138.60	234.05	
21942		198.00	334.40	
21943		99.00	167.20	
21945		99.00	167.20	
21949		99.00	167.20	
21952		198.00	334.40	
21955		99.00	167.20	
21959		99.00	167.20	
21962		99.00	167.20	
21965		99.00	167.20	
21969		158.40	267.50	
21970		297.00	501.55	
21973		99.00	167.20	
21976		99.00	167.20	
21980		99.00	167.20	
21981		79.20	133.75	
21990		59.40	100.30	
21992		79.20	133.75	
21997		79.20	133.75	
22001		59.40	100.30	
22002		79.20	133.75	
22007		79.20	133.75	
22008		79.20	133.75	
22012		59.40	100.30	
22014		59.40	100.30	
22015		118.80	200.65	
22018		138.60	234.05	
22020		79.20	133.75	
22025		79.20	133.75	
22031		99.00	167.20	
22036		59.40	100.30	
22040		39.60	66.90	
22045		59.40	100.30	
22050		39.60	66.90	
22051		178.20	300.95	
22055		237.60	401.25	
22065		99.00	167.20	
22070		198.00	334.40	
22075		297.00	501.55	
22900		118.80	200.65	
22905		118.80	200.65	
23010		19.80	33.45	
23021		39.60	66.90	
23022		39.60	66.90	
23023		39.60	66.90	
23031		59.40	100.30	
23032		59.40	100.30	
23033		59.40	100.30	
23041		79.20	133.75	
23042		79.20	133.75	
23043		79.20	133.75	
23470		1009.80	1705.35	
23480		1029.60	1738.80	
23490		1049.40	1772.25	
23500		1069.20	1805.65	
23510		1089.00	1839.10	
23520		1108.80	1872.55	
23530		1128.60	1906.00	
23540		1148.40	1939.40	
23550		1168.20	1972.85	
23560		1188.00	2006.30	
23570		1207.80	2039.75	
23580		1227.60	2073.15	
23590		1247.40	2106.60	
23600		1267.20	2140.05	
23610		1287.00	2173.50	
23620		1306.80	2206.90	
23630		1326.60	2240.35	
23640		1346.40	2273.80	
23650		1366.20	2307.25	
23660		1386.00	2340.70	
23670		1405.80	2374.10	
23680		1425.60	2407.55	
23690		1445.40	2441.00	
23700		1465.20	2474.45	
23710		1485.00	2507.85	
23720		1504.80	2541.30	
23730		1524.60	2574.75	
23740		1544.40	2608.20	
23750		1564.20	2641.60	
23760		1584.00	2675.05	
23770		1603.80	2708.50	
23780		1623.60	2741.95	
