DESCRIPTION: LINE 2 IS THE HEADER; LINE 3 IS START_DATE; THE FOLLOWING LINES: FEES LIST; THE COLUMNS ARE SEPARATED BY TAB
MBS	MBS Fee (Jan 2015)	AHSA $ Benefit	AHSA % Benefit
15311	$333.20	$405.20	
15312	$330.80	$402.30	
15315	$654.25	$795.60	
15316	$654.25	$795.60	
15319	$406.05	$493.70	
15320	$406.05	$493.70	
15323	$722.00	$878.10	
15324	$722.00	$878.10	
15327	$785.45	$955.20	
15328	$785.45	$955.20	
15331	$745.80	$916.60	
15332	$745.80	$906.50	
15335	$676.80	$823.10	
15336	$676.80	$823.10	
15338	$935.60	$1,157.10	
15339	$76.20	$93.60	
15342	$190.30	$231.60	
15345	$507.80	$617.50	
15348	$58.40	$71.10	
15351	$116.60	$141.60	
15354	$141.50	$172.30	
15357	$40.05	$48.50	
15500	$242.65	$295.20	
15503	$311.55	$378.50	
15506	$465.30	$572.00	
15509	$210.30	$255.90	
15512	$271.10	$323.90	
15513	$306.55	$379.10	
15515	$392.50	$482.20	
15518	$77.00	$94.80	
15521	$339.90	$417.50	
15524	$637.35	$775.10	
15527	$78.95	$96.80	
15530	$352.15	$428.20	
15533	$667.70	$820.60	
15536	$266.90	$324.70	
15539	$627.30	$775.80	
15550	$658.60	$801.50	
15553	$710.55	$864.90	
15556	$664.40	$808.80	
15559	$866.55	$1,054.70	
15562	$1,120.75	$1,364.00	
15600	$1,702.30	$1,894.10	
15700	$45.95	$56.60	
15705	$76.60	$94.20	
15710	$76.60	$94.20	
15800	$96.30	$118.30	
15850	$199.50	$245.20	
16003	$650.50	$716.90	
16006	$499.85	$550.90	
16009	$341.15	$375.70	
16012	$295.15	$325.20	
16015	$4,085.70	$4,503.80	
16018	$2,442.45	$2,692.20	
16401	$85.55	$89.80	
16404	$43.00	$45.40	
16406	$133.95	$142.50	
16500	$47.15	$47.50	
16501	$140.55	$151.70	
16502	$47.15	$47.50	
16504	$47.15	$47.50	
16505	$47.15	$47.50	
16508	$47.15	$47.50	
16509	$47.15	$47.50	
16511	$219.95	$237.50	
16512	$63.50	$90.30	
16514	$36.65	$39.60	
16515	$450.65	$868.00	
16518	$450.65	$451.10	
16519	$693.95	$1,336.60	
16520	$811.05	$1,561.70	
16522	$1,629.35	$2,269.10	
16525	$384.35	$740.10	
16527	$450.65	$758.30	
16528	$811.05	$1,364.60	
16564	$218.00	$309.60	
16567	$318.80	$452.70	
16570	$416.05	$590.80	
16571	$318.80	$452.70	
16573	$259.80	$369.00	
16600	$63.50	$90.30	
16603	$121.85	$173.00	
16606	$243.25	$345.50	
16609	$496.00	$704.00	
16612	$390.25	$554.10	
16615	$207.85	$295.50	
16618	$207.85	$295.50	
16621	$207.85	$295.50	
16624	$299.10	$425.00	
16627	$608.95	$864.40	
16633			142.00 
16636			142.00 
17610	$43.00	$69.50	
17615	$85.55	$138.40	
17620	$118.50	$191.50	
17625	$150.90	$243.80	
17640	$43.00	$69.50	
17645	$85.55	$138.40	
17650	$118.50	$191.50	
17655	$150.90	$243.80	
17680	$85.55	$138.40	
18213	$88.65	$132.60	
18216	$189.90	$300.00	
18219			155.50 
18222	$37.65	$59.20	
18225	$50.05	$79.10	
18226	$284.80	$451.30	
18227			155.50 
18228	$62.50	$92.80	
18230	$238.45	$376.70	
18232	$189.90	$300.00	
18233	$189.90	$300.00	
18234	$124.85	$196.90	
18236	$62.50	$93.30	
18238	$37.65	$55.90	
18240	$93.60	$139.90	
18242	$37.65	$55.90	
18244	$100.80	$159.30	
18246	$100.80	$159.30	
18248	$88.65	$132.60	
18250	$62.50	$93.30	
18252	$100.80	$159.30	
18254	$100.80	$159.30	
18256	$62.50	$93.30	
18258	$62.50	$93.20	
18260	$88.65	$132.60	
18262	$62.50	$102.40	
18264	$100.80	$159.30	
18266	$62.50	$93.60	
18268	$88.65	$145.80	
18270	$88.65	$132.60	
18272	$62.50	$102.40	
18274	$88.65	$132.60	
18276	$124.85	$196.90	
18278	$88.65	$131.90	
18280	$124.85	$196.90	
18282	$100.80	$159.30	
18284	$147.65	$233.20	
18286	$147.65	$233.20	
18288	$147.65	$233.20	
18290	$249.75	$394.30	
